Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Basic sanity - Copy,Chrome 120.0.6099.234,,,29-01-2024 12:22:18,29-01-2024 12:23:30,1m - 12.145s,PASSED
,,,,,,,
Test Cases/Web Testing/TC001_Login,Chrome 120.0.6099.234,,,29-01-2024 12:22:18,29-01-2024 12:22:27,8.946s,PASSED
"callTestCase(findTestCase(""Web Testing/Reused Test Cases/Login""), [""Username"":""John Doe"", ""Password"":""ThisIsNotAPassword""], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:22:18,29-01-2024 12:22:27,8.762s,PASSED
closeBrowser(),Chrome 120.0.6099.234,,,29-01-2024 12:22:27,29-01-2024 12:22:27,0.080s,PASSED
,,,,,,,
Test Cases/Web Testing/TC002_Logout_Profile page,Chrome 120.0.6099.234,,,29-01-2024 12:22:27,29-01-2024 12:22:43,15.624s,PASSED
"callTestCase(findTestCase(""Web Testing/Logout_profile page""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:22:27,29-01-2024 12:22:43,15.600s,PASSED
,,,,,,,
Test Cases/Web Testing/TC003_Logout_History page,Chrome 120.0.6099.234,,,29-01-2024 12:22:43,29-01-2024 12:22:56,13.257s,PASSED
"callTestCase(findTestCase(""Web Testing/Logout_history page""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:22:43,29-01-2024 12:22:56,13.235s,PASSED
,,,,,,,
Test Cases/Web Testing/TC004_Book Appointment,Chrome 120.0.6099.234,,,29-01-2024 12:22:56,29-01-2024 12:23:02,6.176s,PASSED
"callTestCase(findTestCase(""Web Testing/Reused Test Cases/Book Appointment""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:22:56,29-01-2024 12:23:02,6.149s,PASSED
,,,,,,,
Test Cases/Web Testing/TC005_View history,Chrome 120.0.6099.234,,,29-01-2024 12:23:02,29-01-2024 12:23:12,9.873s,PASSED
"callTestCase(findTestCase(""Web Testing/View history""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:23:02,29-01-2024 12:23:12,9.851s,PASSED
,,,,,,,
Test Cases/Web Testing/TC006_View profile,Chrome 120.0.6099.234,,,29-01-2024 12:23:12,29-01-2024 12:23:19,7.383s,PASSED
"callTestCase(findTestCase(""Web Testing/View profile""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:23:12,29-01-2024 12:23:19,7.367s,PASSED
,,,,,,,
Test Cases/Web Testing/TC007_Login_Homepage bar,Chrome 120.0.6099.234,,,29-01-2024 12:23:19,29-01-2024 12:23:30,10.814s,PASSED
"callTestCase(findTestCase(""Web Testing/Login_Homepage bar""), [:], STOP_ON_FAILURE)",Chrome 120.0.6099.234,,,29-01-2024 12:23:20,29-01-2024 12:23:30,10.797s,PASSED
